,0,1,2,3
0,The Manga Guide to Biochemistry,,"By Masaharu Takemura, Kikuyaro, and Office Sawa",$24.95
1,The Manga Guide to Calculus,,"By Hiroyuki Kojima, Shin Togami, and Becom Co., Ltd.",$19.95
2,The Manga Guide to Cryptography,,"By Masaaki Mitani, Shinichi Sato, Idero Hinoki, and Verte Corp.",$24.95
3,The Manga Guide to Databases,,"By Mana Takahashi, Shoko Azuma, and Trend-Pro Co., Ltd",$19.95
4,The Manga Guide to Electricity,,"By Kazuhiro Fujitaki, Matsuda, and Trend-Pro Co, Ltd.",$19.95
5,The Manga Guide to Linear Algebra,,"By Shin Takahashi, Iroha Inoue and Trend-Pro Co., Ltd.",$24.95
6,The Manga Guide to Microprocessors,,"By Michio Shibuya, Takashi Tonagi, and Office Sawa",$24.95
7,The Manga Guide to Molecular Biology,,"By Masaharu Takemura, Sakura, and Becom Co., Ltd.",$19.95
8,The Manga Guide to Physics,,"By Hideo Nitta, Keita Takatsu, and Trend-Pro Co., Ltd.",$19.95
9,The Manga Guide to Physiology,,"By Etsuro Tanaka, Keiko Koyama, and Becom Co. Ltd.",$19.95
10,The Manga Guide to Regression Analysis,,"By Shin Takahashi, Iroha Inoue, and Trend-Pro Co., Ltd.",$24.95
11,The Manga Guide to Relativity,,"By Hideo Nitta, Masafumi Yamamoto, Keita Takatsu, and Trend-Pro Co., Ltd.",$19.95
12,The Manga Guide to Statistics,,"By Shin Takahashi and Trend-Pro Co., Ltd",$19.95
13,The Manga Guide to the Universe,,"By Kenji Ishikawa, Kiyoshi Kawabata, and Verte Corp.",$19.95
